area_name,murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,danger,area,Danger/area,lat,long
SARAI ROHILLA,0,14,1,15,320,11,2,483,1.948430286,247.8918561,28.66837,77.18368
GULABIBAGH,1,0,1,22,295,2,2,403,2.218660178,181.6411562,28.67005,77.19262
ROOP NAGAR,10,16,1,31,436,25,13,784,1.076492634,728.2910958,28.68499,77.20265
VASANT KUNJ NORTH,2,8,0,35,648,14,2,872,14.1053716,61.82042024,28.53486,77.15232
ROHINI NORTH,2,18,1,18,425,23,9,675,2.076678927,325.0382094,28.70894,77.11815
GHAZIPUR,0,2,0,1,107,1,1,126,2.88681013,43.64679155,28.62486,77.33267
SEEMAPURI,1,2,0,16,263,14,11,403,4.731868997,85.16719298,28.67811,77.31653
SEELAMPUR,4,16,1,46,411,12,12,760,1.57623738,482.1608786,28.6743,77.26855
MANSAROVAR PARK,7,29,0,17,336,30,20,704,2.231365619,315.5018586,28.68277,77.29856
SHAHDARA,1,11,0,8,142,47,15,373,2.231365619,167.1622063,28.6742,77.28518
KHAJURIKHAS,2,7,0,20,175,24,6,366,4.453887398,82.17540483,28.71113,77.2561
JYOTI NAGAR,8,13,2,11,160,11,18,395,1.275858528,309.5954538,28.69612,77.2917
HARSH VIHAR,2,9,0,23,471,17,7,673,2.572204895,261.6432312,28.70603,77.31849
MUNDKA,1,5,0,11,239,11,3,344,48.58235864,7.080759552,28.67042,76.96085
BHAJANPURI,3,19,4,25,193,19,28,545,10.15799164,53.65233791,28.70128,77.2644
ZAFRABAD,1,2,0,3,66,4,3,110,1.57623738,69.78644295,28.67909,77.27297
WELCOME,0,2,0,15,337,5,5,432,1.805524407,239.2656662,28.67341,77.27479
NANDNAGARI,9,26,2,30,580,34,11,986,2.02815697,486.1556648,28.69853,77.30817
G.T.B. ENCLAVE,1,1,0,13,86,6,7,181,2.874304374,62.97175819,28.68496,77.316
NEW USMANPUR,0,8,1,10,580,9,5,698,3.093393387,225.6421711,28.67202,77.26207
SONIA VIHAR,6,25,1,25,300,42,8,668,4.453887398,149.98134,28.71128,77.25611
KARAWAL NAGAR,7,15,2,26,334,19,7,617,2.937546578,210.0392227,28.73284,77.2745
GOKULPURI,2,6,2,22,306,19,8,506,1.566343791,323.0453001,28.70225,77.28085
